node_id,frequency
AIP:0000010,1
AIP:0000064,8
AIP:0000065,6
AIP:0000119,101
AIP:0000120,4
AIP:0000122,131
AIP:0000124,3
AIP:0000127,3
AIP:0000128,2
AIP:0000178,2
AIP:0000244,16
AIP:0000245,2
AIP:0000247,7
AIP:0000258,1
AIP:0000269,1
AIP:0000274,8
AIP:0000286,2
AIP:0000338,57
AIP:0000339,30
AIP:0000396,3133
AIP:0000397,14
AIP:0000398,57
AIP:0000399,7
AIP:0000411,3
AIP:0000417,11
AIP:0000436,3
AIP:0000445,24
AIP:0000448,2
AIP:0000453,1
AIP:0000456,1
AIP:0000457,8
AIP:0000461,1
AIP:0000506,12
AIP:0000513,19
AIP:0000582,1
AIP:0000618,2
AIP:0000692,1
AIP:0000733,3376
AIP:0000734,1703
AIP:0000739,128
AIP:0000745,110
AIP:0000765,968
AIP:0000766,2768
AIP:0000767,7
AIP:0000768,5
AIP:0000769,105
AIP:0000775,1909
AIP:0000776,2
AIP:0000782,8
AIP:0000784,18
AIP:0000785,1
AIP:0000786,3
AIP:0000796,3
AIP:0000799,1
AIP:0000805,6
AIP:0000810,2
AIP:0000814,23
AIP:0000815,2
AIP:0000861,3
AIP:0000871,1
AIP:0000884,29
AIP:0000893,1
AIP:0000894,1
AIP:0000923,22388
AIP:0000924,2
AIP:0000925,7
AIP:0000926,125
AIP:0000928,41
AIP:0000931,8
AIP:0000935,173
AIP:0000942,4042
AIP:0000943,88
AIP:0000945,193
AIP:0000949,106
AIP:0000950,44
AIP:0000957,6
AIP:0000959,730
AIP:0000960,26
AIP:0000963,285
AIP:0000965,49
AIP:0000966,13
AIP:0000967,27
AIP:0000969,5
AIP:0000970,6610
AIP:0000971,383
AIP:0000972,267
AIP:0000973,73
AIP:0000974,203
AIP:0000975,18
AIP:0000977,92
AIP:0000988,3
AIP:0000993,2
AIP:0001007,6
AIP:0001017,1
AIP:0001019,4
AIP:0001023,1
AIP:0001029,30
AIP:0001076,2
AIP:0001086,1
AIP:0001110,12
AIP:0001111,1
AIP:0001116,326
AIP:0001133,1
AIP:0001154,3
AIP:0001336,2
AIP:0001422,1
AIP:0001423,6
AIP:0001437,1
AIP:0001440,15
AIP:0001444,18
AIP:0001454,4
AIP:0001538,1
AIP:0001558,124
AIP:0001579,2
AIP:0001580,3
AIP:0001635,1
AIP:0001647,6
AIP:0001662,1
AIP:0001672,1104
AIP:0001703,1
AIP:0001707,2
AIP:0001708,3
AIP:0001711,1
AIP:0001791,2
AIP:0001883,2
AIP:0001903,2
AIP:0001906,1
AIP:0001961,2
AIP:0002007,12
AIP:0002010,1
AIP:0002066,1
AIP:0002076,2
AIP:0002078,2
AIP:0002079,1
AIP:0002081,1
AIP:0002085,1
AIP:0002105,4
AIP:0002106,1
AIP:0002119,1
AIP:0002182,1
AIP:0002259,15
AIP:0002264,14
AIP:0002266,1
AIP:0002301,1
AIP:0002308,19
AIP:0002327,1
AIP:0002333,1
AIP:0002344,21
AIP:0002345,20
AIP:0002346,1
AIP:0002349,4
AIP:0002358,1
AIP:0002365,4
AIP:0002366,14
AIP:0002367,1
AIP:0002373,3
AIP:0002374,19
AIP:0002451,2
AIP:0002471,1
AIP:0002523,9
AIP:0002550,6
AIP:0002581,3
AIP:0002582,1
AIP:0002621,1
AIP:0002623,2
AIP:0002653,1
AIP:0002803,9
AIP:0002804,36
AIP:0002806,19
AIP:0002807,4
AIP:0002996,2
AIP:0003030,2
AIP:0003043,2
AIP:0003044,2
AIP:0003061,3
AIP:0003069,13
AIP:0003162,1
AIP:0003166,1
AIP:0003219,1
AIP:0003512,33
AIP:0003601,627
AIP:0007000,760
AIP:0011506,1
AIP:0022200,1
AIP:0022201,9
AIP:0022209,1
AIP:0022215,2
AIP:0022223,24
AIP:0088888,7
AIP:0100001,579
AIP:0100002,2
AIP:0100003,2
AIP:0100007,3
AIP:0100008,8
AIP:0100047,6
AIP:0100054,1
AIP:0100064,85
AIP:0100074,6
AIP:0100076,11
AIP:0100079,4
AIP:0100096,1
AIP:0100097,91
AIP:0100102,1
AIP:0100111,1
AIP:0100152,6
AIP:0100153,6
AIP:0100158,1
AIP:0100160,17
AIP:0100162,1
AIP:0100163,1
AIP:0100184,3
AIP:0103003,13
AIP:0103006,126
AIP:0103007,30
